loc_rowid,st_teff,st_rad,st_lum,st_lum_utl,st_dist,hz_inner_au,hz_outer_au,hz_center_au,hz_inner_mas,hz_outer_mas,hz_center_mas,RA,Dec
1,4742,19,174.98467,174.98467,93.37,9.9211,23.4139,13.2282,106.26,250.773,141.68,185.179276,17.792868
2,4213,29.79,,252.23398,125.72,11.9114,28.1109,15.8819,94.742,223.591,126.323,229.274536,71.823898
3,4813,11,57.94287,57.94287,75.59,5.709,13.4733,7.612,75.524,178.236,100.699,352.822571,39.236198
4,5338,0.93,,0.63354,17.94,0.597,1.4088,0.796,33.273,78.524,44.364,242.601303,43.817646
5,5750,1.13,,1.25929,21.41,0.8416,1.9863,1.1222,39.31,92.772,52.414,295.466553,50.517525
6,4979,8.5,39.99447,39.99447,76.38,4.7431,11.1937,6.3241,62.098,146.55,82.797,314.608063,10.839286
7,4060,,0.42658,0.42658,145,0.4898,1.156,0.6531,3.378,7.973,4.504,242.376268,-21.083036
8,4893,10.64,59.45,59.45,96.25,5.7828,13.6474,7.7104,60.083,141.796,80.111,217.157547,49.844852
9,5098,4.9,14.58814,14.58814,72.21,2.8646,6.7604,3.8194,39.671,93.623,52.895,155.86821,-0.902244
10,3530,,0.01905,0.01905,36,0.1035,0.2443,0.138,2.876,6.787,3.834,20.712243,-24.664049
11,3064,0.281,0.00589,0.00589,39.4,0.0576,0.1358,0.0767,1.461,3.447,1.948,34.842106,-39.422928
12,,,,,140,,,,,,,70.437073,23.030941
13,,,,,52.4,,,,,,,181.889447,-39.548332
14,,,,,396.36,,,,,,,294.635865,46.066418
15,2300,0.116,0.00033,0.00033,25,0.0136,0.0322,0.0182,0.546,1.288,0.728,325.122159,16.421759
16,4045,,,,74,,,,,,,339.102203,47.86182
17,6331,1.41,,2.88154,44.71,1.2731,3.0046,1.6975,28.472,67.195,37.963,39.240585,24.648064
18,4415,18.11,,112.42334,73.58,7.9522,18.7673,10.603,108.072,255.05,144.096,130.053406,64.327934
19,4200,22.03,,136.24573,90.86,8.7543,20.6602,11.6724,96.351,227.389,128.468,276.496399,65.563484
20,5892,1.23,,1.64497,13.8,0.9619,2.2701,1.2826,69.694,164.478,92.925,164.866562,40.430256
21,,,7.07946,7.07946,29.4,1.9955,4.7095,2.6607,67.876,160.187,90.501,69.400551,-2.473548
22,5793,1.2,,1.4631,15.47,0.9072,2.141,1.2096,58.649,138.411,78.198,344.366577,20.768833
23,5196,0.943,0.5821,0.5821,12.59,0.5722,1.3504,0.763,45.45,107.261,60.6,133.149216,28.330818
24,4938,5.2,,14.50467,54.74,2.8564,6.741,3.8085,52.177,123.137,69.569,97.696281,58.162632
25,5577,0.963,0.80353,0.80353,8.51,0.6723,1.5866,0.8964,79.044,186.544,105.392,199.601318,-18.311195
26,4792,2.3,11.29796,11.29796,19.82,2.5209,5.9494,3.3612,127.199,300.189,169.598,99.17099,-19.255878
27,5495,1.89,,2.93827,17.91,1.2856,3.034,1.7141,71.781,169.404,95.708,202.107544,13.778788
28,4846,10.5,53.70318,53.70318,83.15,5.4962,12.971,7.3282,66.099,155.994,88.132,38.039253,-1.034896
29,4847,10.3,,52.82789,159.1,5.4512,12.8649,7.2683,34.263,80.86,45.684,224.201477,74.900925
30,4785,11,59.97911,59.97911,101.53,5.8085,13.708,7.7446,57.207,135.009,76.276,39.424168,-3.396175
31,4665,11,,51.69978,44.08,5.3927,12.7268,7.1903,122.351,288.749,163.135,348.9729,-9.087737
32,,,,,50.12,,,,,,,94.803802,-58.05431
33,4095,32.35,501.18723,501.18723,2618,16.7904,39.6254,22.3872,6.413,15.136,8.551,177.564804,2.760142
34,4864,0.86,,0.37348,49.42,0.4583,1.0817,0.6111,9.274,21.887,12.365,318.399963,14.689387
35,4649,8.95,37.15352,37.15352,774,4.5715,10.7888,6.0954,5.906,13.939,7.875,176.482174,14.616381
36,4796,14.7,102.3293,102.3293,431.61,7.5868,17.905,10.1158,17.578,41.484,23.437,240.095566,15.54693
37,4259,71.02,,1497.23042,200,29.0205,68.4885,38.6941,145.103,342.442,193.47,154.18691,19.891409
38,4296,17.3,91.20108,91.20108,1383.85,7.1624,16.9034,9.5499,5.176,12.215,6.901,25.920324,21.005314
