# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 11 18:07:50 2019
#
# CONSTRAINT:  where (k2c_disp like '%CANDIDATE%'
# CONSTRAINT:  )
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
5,EPIC 201111557,EPIC 201111557.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,0,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30236800,0.00010500,-0.00010300,0,2457583.162060,0.002087,-0.002129,0,87.444,1.875,-9.524,0,12.619867,2.838328,-8.018827,0,0.01692,0.00674,-0.00148,0,1.313,0.524,-0.121,0,0.71,0.02,-0.02,0,11.363,,0,9.220,0.019,0
6,EPIC 201111557,EPIC 201111557.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30183000,0.00028000,-0.00030000,0,2457583.168800,0.005200,-0.005200,0,,,,,11.800000,2.100000,-3.000000,0,0.01440,0.00140,-0.00100,0,1.120,0.110,-0.080,0,,,,,11.363,,0,9.220,0.019,0
7,EPIC 201126503,EPIC 201126503.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h43m45.22s,175.938416,-05d52m22.8s,-5.873002,1.19474880,,,0,2456810.382000,,,0,,,,,,,,,0.06005,,,0,4.190,,,0,0.57,,,0,17.275,,0,14.230,0.070,0
8,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17887000,0.00007000,-0.00007000,0,2457585.547300,0.000500,-0.000500,0,,,,,18.100000,0.200000,-0.600000,0,0.10580,0.00110,-0.00070,0,8.840,0.140,-0.130,0,,,,,11.558,,0,9.430,0.021,0
9,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,0,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17836900,0.00019500,-0.00017200,0,2457585.551310,0.001116,-0.001211,0,88.797,0.824,-1.001,0,17.277258,1.123995,-2.045780,0,0.11511,0.00492,-0.00336,0,9.913,0.529,-0.362,0,0.79,0.03,-0.02,0,11.558,,0,9.430,0.021,0
17,EPIC 201164625,EPIC 201164625.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h06m22.48s,181.593658,-04d56m48.1s,-4.946688,2.71189000,0.00068000,-0.00056000,0,2457583.136200,0.011200,-0.017900,0,,,,,5.500000,1.100000,-1.500000,0,0.01210,0.00100,-0.00080,0,4.340,0.430,-0.350,0,,,,,11.919,,0,10.777,0.023,0
20,EPIC 201166680,EPIC 201166680.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,18.10549000,0.01008300,-0.01289700,0,2457598.193300,0.020571,-0.015611,0,88.945,0.776,-1.699,0,26.263676,5.294142,-8.940986,0,0.01572,0.00173,-0.00119,0,2.100,0.306,-0.201,0,1.22,0.12,-0.07,0,10.897,,0,9.591,0.021,0
21,EPIC 201176672,EPIC 201176672.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,1,11h16m36.05s,169.150208,-04d39m23.6s,-4.656546,79.99990000,0.00980000,-0.00980000,0,2456877.804600,0.001500,-0.001500,0,,,,,,,,,0.18000,0.01100,-0.01100,0,10.200,2.100,-2.100,0,0.51,0.10,-0.10,0,13.980,,0,11.604,0.023,0
22,EPIC 201180665,EPIC 201180665.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>,CANDIDATE,1,12h16m40.76s,184.169815,-04d33m37.3s,-4.560360,17.77297000,0.00009000,-0.00009000,0,2457586.498600,0.000200,-0.000200,0,,,,,33.300000,0.300000,-0.300000,0,0.18920,0.00080,-0.00090,0,26.440,0.650,-0.650,0,,,,,13.080,,0,11.650,0.019,0
23,EPIC 201182911,EPIC 201182911.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,1,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,,,0,2456811.090000,,,0,,,,,,,,,0.62560,,,0,32.800,,,0,0.50,,,0,15.516,,0,12.335,0.027,0
