loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
5,EPIC 201111557,183.846542,-6.268236,2.302368,0.000105,-0.000103,0,2457583.162,0.002087,-0.002129,0,87.444,1.875,-9.524,0,12.619867,2.838328,-8.018827,0,0.01692,0.00674,-0.00148,0,1.313,0.524,-0.121,0,0.71,0.02,-0.02,0,11.363,,0,9.22,0.019,0
6,EPIC 201111557,183.846542,-6.268236,2.30183,0.00028,-0.0003,0,2457583.169,0.0052,-0.0052,0,,,,,11.8,2.1,-3,0,0.0144,0.0014,-0.001,0,1.12,0.11,-0.08,0,,,,,11.363,,0,9.22,0.019,0
7,EPIC 201126503,175.938416,-5.873002,1.1947488,,,0,2456810.382,,,0,,,,,,,,,0.06005,,,0,4.19,,,0,0.57,,,0,17.275,,0,14.23,0.07,0
8,EPIC 201127519,181.37207,-5.848084,6.17887,0.00007,-0.00007,0,2457585.547,0.0005,-0.0005,0,,,,,18.1,0.2,-0.6,0,0.1058,0.0011,-0.0007,0,8.84,0.14,-0.13,0,,,,,11.558,,0,9.43,0.021,0
9,EPIC 201127519,181.37207,-5.848084,6.178369,0.000195,-0.000172,0,2457585.551,0.001116,-0.001211,0,88.797,0.824,-1.001,0,17.277258,1.123995,-2.04578,0,0.11511,0.00492,-0.00336,0,9.913,0.529,-0.362,0,0.79,0.03,-0.02,0,11.558,,0,9.43,0.021,0
17,EPIC 201164625,181.593658,-4.946688,2.71189,0.00068,-0.00056,0,2457583.136,0.0112,-0.0179,0,,,,,5.5,1.1,-1.5,0,0.0121,0.001,-0.0008,0,4.34,0.43,-0.35,0,,,,,11.919,,0,10.777,0.023,0
20,EPIC 201166680,181.121399,-4.899185,18.10549,0.010083,-0.012897,0,2457598.193,0.020571,-0.015611,0,88.945,0.776,-1.699,0,26.263676,5.294142,-8.940986,0,0.01572,0.00173,-0.00119,0,2.1,0.306,-0.201,0,1.22,0.12,-0.07,0,10.897,,0,9.591,0.021,0
21,EPIC 201176672,169.150208,-4.656546,79.9999,0.0098,-0.0098,0,2456877.805,0.0015,-0.0015,0,,,,,,,,,0.18,0.011,-0.011,0,10.2,2.1,-2.1,0,0.51,0.1,-0.1,0,13.98,,0,11.604,0.023,0
22,EPIC 201180665,184.169815,-4.56036,17.77297,0.00009,-0.00009,0,2457586.499,0.0002,-0.0002,0,,,,,33.3,0.3,-0.3,0,0.1892,0.0008,-0.0009,0,26.44,0.65,-0.65,0,,,,,13.08,,0,11.65,0.019,0
23,EPIC 201182911,172.710419,-4.507613,0.99656225,,,0,2456811.09,,,0,,,,,,,,,0.6256,,,0,32.8,,,0,0.5,,,0,15.516,,0,12.335,0.027,0
24,EPIC 201197348,177.094971,-4.164393,14.912381,,,0,2456825.111,,,0,,,,,,,,,0.04445,,,0,3.55,,,0,0.65,,,0,15.135,,0,12.424,0.027,0
39,EPIC 201231940,174.120605,-3.482449,0.57303573,,,0,2456810.511,,,0,,,,,,,,,0.09028,,,0,3.35,,,0,0.43,,,0,18.108,,0,15.155,0.159,0
40,EPIC 201238110,179.705933,-3.389389,7.9069606,,,0,2456813.675,,,0,,,,,,,,,0.04848,,,0,3.02,,,0,0.52,,,0,14.904,,0,11.933,0.024,0
41,EPIC 201238163,173.262802,-3.388773,1.0829614,,,0,2456810.366,,,0,,,,,,,,,0.02378,,,0,1.56,,,0,0.56,,,0,15.279,,0,12.282,0.024,0
42,EPIC 201239401,173.052963,-3.370242,0.90552205,,,0,2456810.944,,,0,,,,,,,,,0.02628,,,0,1.52,,,0,0.5,,,0,15.042,,0,11.735,0.026,0
43,EPIC 201247497,177.946548,-3.246116,2.7541129,,,0,2456810.901,,,0,,,,,,,,,0.07842,,,0,4.87,,,0,0.55,,,0,16.77,,0,13.748,0.057,0
44,EPIC 201247497,177.946548,-3.246116,2.75391,0.00015,-0.00015,0,2456810.903,0.0023,-0.0023,0,,,,,,,,,0.079,0.013,-0.013,0,3.78,0.68,-0.68,0,0.44,0.03,-0.03,0,16.77,,0,13.748,0.057,0
