pl_hostname,pl_name,ra,dec,st_dist,st_optmag
11 Com,11 Com b,185.179276,17.792868,93.37,4.74
11 UMi,11 UMi b,229.274536,71.823898,125.72,5.016
14 And,14 And b,352.822571,39.236198,75.59,5.227
14 Her,14 Her b,242.601303,43.817646,17.94,6.61
16 Cyg B,16 Cyg B b,295.466553,50.517525,21.41,6.25
18 Del,18 Del b,314.608063,10.839286,76.38,5.506
1RXS J160929.1-210524,1RXS J160929.1-210524 b,242.376268,-21.083036,145,
24 Boo,24 Boo b,217.157547,49.844852,96.25,5.58
24 Sex,24 Sex b,155.86821,-0.902244,72.21,6.441
24 Sex,24 Sex c,155.86821,-0.902244,72.21,6.441
2MASS J01225093-2439505,2MASS J01225093-2439505 b,20.712243,-24.664049,36,14.24
2MASS J02192210-3925225,2MASS J02192210-3925225 b,34.842106,-39.422928,39.4,
2MASS J04414489+2301513,2MASS J04414489+2301513 b,70.437073,23.030941,140,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,181.889447,-39.548332,52.4,20.15
2MASS J19383260+4603591,2MASS J19383260+4603591 b,294.635865,46.066418,396.36,12.264
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,325.122159,16.421759,25,
2MASS J22362452+4751425,2MASS J22362452+4751425 b,339.102203,47.86182,74,12.51
30 Ari B,30 Ari B b,39.240585,24.648064,44.71,6.962
4 UMa,4 UMa b,130.053406,64.327934,73.58,4.61
42 Dra,42 Dra b,276.496399,65.563484,90.86,4.82
47 UMa,47 UMa b,164.866562,40.430256,13.8,5.05
47 UMa,47 UMa c,164.866562,40.430256,13.8,5.05
47 UMa,47 UMa d,164.866562,40.430256,13.8,5.05
51 Eri,51 Eri b,69.400551,-2.473548,29.4,5.23
51 Peg,51 Peg b,344.366577,20.768833,15.47,5.5
55 Cnc,55 Cnc b,133.149216,28.330818,12.59,5.96
55 Cnc,55 Cnc c,133.149216,28.330818,12.59,5.96
55 Cnc,55 Cnc d,133.149216,28.330818,12.59,5.96
55 Cnc,55 Cnc e,133.149216,28.330818,12.59,5.96
55 Cnc,55 Cnc f,133.149216,28.330818,12.59,5.96
6 Lyn,6 Lyn b,97.696281,58.162632,54.74,5.855
61 Vir,61 Vir b,199.601318,-18.311195,8.51,4.74
61 Vir,61 Vir c,199.601318,-18.311195,8.51,4.74
61 Vir,61 Vir d,199.601318,-18.311195,8.51,4.74
7 CMa,7 CMa b,99.17099,-19.255878,19.82,3.92
70 Vir,70 Vir b,202.107544,13.778788,17.91,4.98
75 Cet,75 Cet b,38.039253,-1.034896,83.15,5.35
8 UMi,8 UMi b,224.201477,74.900925,159.1,6.83
81 Cet,81 Cet b,39.424168,-3.396175,101.53,5.65
91 Aqr,91 Aqr b,348.9729,-9.087737,44.08,4.25
AB Pic,AB Pic b,94.803802,-58.05431,50.12,9.128
BD+03 2562,BD+03 2562 b,177.564804,2.760142,2618,9.58
BD+14 4559,BD+14 4559 b,318.399963,14.689387,49.42,9.63
BD+15 2375,BD+15 2375 b,176.482174,14.616381,774,10.31
BD+15 2940,BD+15 2940 b,240.095566,15.54693,431.61,9.046
BD+20 2457,BD+20 2457 b,154.18691,19.891409,200,9.75
BD+20 2457,BD+20 2457 c,154.18691,19.891409,200,9.75
BD+20 274,BD+20 274 b,25.920324,21.005314,1383.85,9.36
BD+20 594,BD+20 594 b,53.650967,20.599232,180.39,11.038
BD+48 738,BD+48 738 b,40.710224,49.58696,892.17,9.14
BD+48 740,BD+48 740 b,40.742569,48.930061,678.94,8.699
BD+49 828,BD+49 828 b,45.640529,49.730011,447.59,9.38
BD-06 1339,BD-06 1339 b,88.251183,-5.994844,20.28,9.7
BD-06 1339,BD-06 1339 c,88.251183,-5.994844,20.28,9.7
BD-08 2823,BD-08 2823 b,150.198837,-9.51668,41.38,9.88
BD-08 2823,BD-08 2823 c,150.198837,-9.51668,41.38,9.88
BD-10 3166,BD-10 3166 b,164.620003,-10.770376,80,10.08
BD-11 4672,BD-11 4672 b,278.370148,-11.636039,27.3,9.99
BD-13 2130,BD-13 2130 b,114.288458,-13.906639,766,9.45
BD-17 63,BD-17 63 b,7.142942,-16.226345,34.49,9.566
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,224.620833,10.228611,23.1,
CHXR 73,CHXR 73 b,166.619893,-77.625877,191.05,
CT Cha,CT Cha b,166.037877,-76.455383,165,
CoRoT-1,CoRoT-1 b,102.079885,-3.102147,805.31,13.6
CoRoT-10,CoRoT-10 b,291.063708,0.746143,345,15.22
CoRoT-11,CoRoT-11 b,280.687263,5.937688,560,12.939
CoRoT-12,CoRoT-12 b,100.765677,-1.296439,1150,15.515
CoRoT-13,CoRoT-13 b,102.721137,-5.086445,1060,15.039
CoRoT-14,CoRoT-14 b,103.424211,-5.536037,1340,16.033
CoRoT-16,CoRoT-16 b,278.524691,-6.002595,840,15.63
CoRoT-17,CoRoT-17 b,278.699254,-6.612234,920,15.46
CoRoT-18,CoRoT-18 b,98.17241,-0.031586,870,15
CoRoT-19,CoRoT-19 b,97.033582,-0.170681,770,14.007
CoRoT-2,CoRoT-2 b,291.777056,1.383714,200,12.57
CoRoT-20,CoRoT-20 b,97.720408,0.226919,864.31,14.66
CoRoT-20,CoRoT-20 c,97.720408,0.226919,864.31,14.66
CoRoT-22,CoRoT-22 b,280.667115,6.219136,592,13.944
CoRoT-23,CoRoT-23 b,279.782615,4.357806,600,15.63
CoRoT-24,CoRoT-24 b,101.922547,-3.719301,600,
CoRoT-24,CoRoT-24 c,101.922547,-3.719301,600,
CoRoT-25,CoRoT-25 b,280.629662,6.513829,1000,
CoRoT-26,CoRoT-26 b,279.750514,6.969787,1670,
CoRoT-27,CoRoT-27 b,278.495813,5.538462,1035.15,15.54
CoRoT-28,CoRoT-28 b,278.688338,5.57373,560,
CoRoT-29,CoRoT-29 b,278.902103,6.479651,765,
CoRoT-3,CoRoT-3 b,292.055263,0.12182,680,13.292
CoRoT-4,CoRoT-4 b,102.194663,-0.672774,741.6,
CoRoT-5,CoRoT-5 b,101.277254,0.815239,904.65,
CoRoT-6,CoRoT-6 b,281.072525,6.663194,657.24,13.912
CoRoT-7,CoRoT-7 b,100.956125,-1.063033,153.7,11.668
CoRoT-7,CoRoT-7 c,100.956125,-1.063033,153.7,11.668
CoRoT-8,CoRoT-8 b,291.588518,1.426452,380,14.8
CoRoT-9,CoRoT-9 b,280.786712,6.204172,460,13.69
CoRoTID 223977153,CoRoTID 223977153 b,100.195183,9.257431,586.2,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,125.76305,-49.200359,20.77,
DH Tau,DH Tau b,67.423158,26.54952,140,
DP Leo,DP Leo b,169.316667,17.961417,,
EPIC 211822797,EPIC 211822797 b,130.41037,17.640005,187.19,15.256
EPIC 211945201,EPIC 211945201 b,136.573975,19.402252,182.69,10.154
EPIC 220674823,EPIC 220674823 b,13.07978,10.794699,246.1,12.102
